2018-03-24T03:44:38Z, 48, NTP, Adjust, -54
2018-03-24T15:02:47Z, 47, NTP, Adjust, 157
2018-03-24T21:56:22Z, 48, NTP, Adjust, -3
2018-03-25T02:58:24Z, 47, NTP, Adjust, -3
2018-03-25T05:46:52Z, 47, NWL, Measmt, -128
2018-03-25T05:47:06Z, 47, NWL, Adjust, -127
2018-03-25T07:31:27Z, 47, NTP, Adjust, 3
2018-03-25T18:20:17Z, 47, NTP, Adjust, -6
2018-03-26T01:44:11Z, 48, NTP, Adjust, 42
2018-03-26T08:27:17Z, 46, NWL, Measmt, -58
2018-03-26T08:27:54Z, 46, NWL, Adjust, -56
2018-03-26T21:39:02Z, 48, NTP, Adjust, 27
2018-03-27T00:33:39Z, 48, NTP, Adjust, 3
2018-03-27T04:33:25Z, 48, NTP, Adjust, -21
2018-03-27T14:13:06Z, 47, NTP, Adjust, 27
2018-03-27T18:12:44Z, 46, NTP, Adjust, 27
2018-03-27T22:45:40Z, 46, NTP, Adjust, -15
2018-03-28T03:47:26Z, 46, NTP, Adjust, 3
2018-03-28T05:11:02Z, 47, NWL, Measmt, -77
2018-03-28T05:11:30Z, 47, NWL, Adjust, -75
2018-03-28T08:20:32Z, 46, NTP, Adjust, 3
2018-03-28T16:58:52Z, 47, NTP, Adjust, -197
2018-03-28T21:59:43Z, 48, NTP, Adjust, 3
2018-03-29T06:41:31Z, 49, NWL, Measmt, 160
2018-03-29T06:42:07Z, 49, NWL, Adjust, 157
2018-03-29T15:43:18Z, 48, NTP, Adjust, -6
2018-03-29T20:16:36Z, 50, NTP, Adjust, 24
2018-03-30T00:50:05Z, 50, NTP, Adjust, 63
2018-03-30T07:34:19Z, 50, NTP, Adjust, -24
2018-03-30T14:28:37Z, 49, NTP, Adjust, 3
2018-03-31T01:46:46Z, 50, NTP, Adjust, -33
2018-03-31T08:41:07Z, 48, NTP, Adjust, 18
2018-03-31T13:15:00Z, 48, NTP, Adjust, 125
2018-04-01T02:53:10Z, 50, NTP, Adjust, 3
2018-04-01T07:30:24Z, 49, NWL, Measmt, -135
2018-04-01T07:30:34Z, 49, NWL, Adjust, -131
2018-04-01T21:06:06Z, 50, NTP, Adjust, -66
2018-04-02T03:50:22Z, 50, NTP, Adjust, 12
2018-04-02T10:44:34Z, 49, NTP, Adjust, 3
2018-04-02T15:17:55Z, 49, NTP, Adjust, -30
2018-04-02T22:02:35Z, 51, NTP, Adjust, 6
2018-04-03T04:56:50Z, 51, NTP, Adjust, -3
2018-04-03T06:48:27Z, 50, NWL, Measmt, 77
2018-04-03T06:48:58Z, 50, NWL, Adjust, 75
2018-04-03T10:03:29Z, 50, NTP, Adjust, -3
2018-04-03T14:03:04Z, 49, NTP, Adjust, 9
2018-04-04T01:22:02Z, 52, NTP, Adjust, -101
2018-04-04T07:14:13Z, 51, NWL, Measmt, 113
2018-04-04T07:14:42Z, 51, NWL, Adjust, 112
2018-04-04T08:15:43Z, 51, NTP, Adjust, 36
2018-04-04T17:50:42Z, 51, NTP, Adjust, -30
2018-04-05T02:28:21Z, 51, NTP, Adjust, 63
2018-04-05T08:58:17Z, 48, NWL, Measmt, -69
2018-04-05T08:58:25Z, 48, NWL, Adjust, -67
2018-04-05T12:02:52Z, 47, NTP, Adjust, -18
2018-04-06T06:15:07Z, 48, NTP, Adjust, -9
2018-04-06T14:53:09Z, 47, NTP, Adjust, 133
2018-04-07T00:27:31Z, 49, NTP, Adjust, -21
2018-04-07T05:42:57Z, 49, NWL, Measmt, -73
2018-04-07T05:43:14Z, 49, NWL, Adjust, -71
2018-04-07T09:04:33Z, 49, NTP, Adjust, 18
2018-04-07T14:06:32Z, 49, NTP, Adjust, 3
2018-04-07T18:40:38Z, 49, NTP, Adjust, -125
2018-04-08T03:46:10Z, 47, NTP, Adjust, 33
2018-04-08T06:56:47Z, 46, NWL, Measmt, 56
2018-04-08T06:57:19Z, 46, NWL, Adjust, 52
2018-04-08T12:23:28Z, 46, NTP, Adjust, -57
2018-04-08T19:08:00Z, 47, NTP, Adjust, 12
2018-04-09T02:02:07Z, 47, NTP, Adjust, -3
2018-04-09T07:04:17Z, 47, NTP, Adjust, -3
2018-04-09T07:37:53Z, 47, NWL, Measmt, 69
2018-04-09T07:38:02Z, 47, NWL, Adjust, 67
2018-04-09T11:37:43Z, 46, NTP, Adjust, 36
2018-04-09T20:14:41Z, 49, NTP, Adjust, -27
2018-04-10T00:47:28Z, 49, NTP, Adjust, -3
2018-04-10T05:20:57Z, 49, NTP, Adjust, 39
2018-04-10T07:50:32Z, 48, NWL, Measmt, -55
2018-04-10T07:50:44Z, 48, NWL, Adjust, -52
2018-04-10T12:05:36Z, 47, NTP, Adjust, -6
2018-04-10T18:59:49Z, 48, NTP, Adjust, -3
2018-04-10T23:33:08Z, 49, NTP, Adjust, 24
2018-04-11T06:18:29Z, 48, NTP, Adjust, -63
2018-04-11T13:13:06Z, 47, NTP, Adjust, 165
2018-04-11T17:45:14Z, 48, NTP, Adjust, -6
2018-04-11T22:18:25Z, 49, NTP, Adjust, -15
2018-04-12T05:03:22Z, 49, NTP, Adjust, -18
2018-04-12T06:14:16Z, 48, NWL, Measmt, -79
2018-04-12T06:14:28Z, 48, NWL, Adjust, -78
2018-04-12T09:36:49Z, 47, NTP, Adjust, -54
2018-04-12T16:31:24Z, 48, NTP, Adjust, 75
2018-04-12T21:32:42Z, 50, NTP, Adjust, 3
2018-04-13T02:06:43Z, 51, NTP, Adjust, -90
2018-04-13T06:43:33Z, 49, NTP, Adjust, -18
2018-04-13T08:03:15Z, 49, NWL, Measmt, 63
2018-04-13T08:03:46Z, 49, NWL, Adjust, 60
2018-04-13T15:16:15Z, 48, NTP, Adjust, 24
2018-04-13T17:28:48Z, 49, NTP, Adjust, 125
2018-04-13T22:00:54Z, 51, NTP, Adjust, -6
2018-04-14T02:34:58Z, 51, NTP, Adjust, -117
2018-04-14T09:28:21Z, 50, NTP, Adjust, 9
2018-04-14T14:30:21Z, 50, NTP, Adjust, 3
2018-04-14T19:04:26Z, 51, NTP, Adjust, -197
2018-04-14T23:36:31Z, 52, NTP, Adjust, 3
2018-04-15T05:07:42Z, 51, NWL, Measmt, 151
2018-04-15T05:08:10Z, 51, NWL, Adjust, 150
2018-04-15T08:13:38Z, 51, NTP, Adjust, -3
2018-04-15T12:46:48Z, 51, NTP, Adjust, -12
2018-04-15T17:19:50Z, 51, NTP, Adjust, 6
2018-04-16T00:05:41Z, 51, NTP, Adjust, 146
2018-04-16T06:59:03Z, 50, NTP, Adjust, -6
2018-04-16T08:13:54Z, 49, NWL, Measmt, -82
2018-04-16T08:14:46Z, 49, NWL, Adjust, -78
2018-04-16T09:11:24Z, 49, NTP, Adjust, -48
2018-04-16T16:34:18Z, 47, NTP, Adjust, 12
2018-04-16T21:07:18Z, 47, NTP, Adjust, 3
2018-04-17T01:41:05Z, 46, NTP, Adjust, -66
2018-04-17T06:13:29Z, 46, NTP, Adjust, -3
2018-04-17T08:25:46Z, 45, NWL, Measmt, 125
2018-04-17T08:25:59Z, 45, NWL, Adjust, 124
2018-04-17T10:46:33Z, 45, NTP, Adjust, 3
2018-04-17T15:19:39Z, 46, NTP, Adjust, 6
2018-04-17T21:35:30Z, 47, NTP, Adjust, -3
2018-04-18T04:29:41Z, 48, NTP, Adjust, 3
2018-04-18T09:02:44Z, 48, NTP, Adjust, 3
2018-04-19T12:22:08Z, 49, NTP, Adjust, -130
2018-04-19T17:23:32Z, 50, NTP, Adjust, -3
2018-04-19T21:57:33Z, 51, NTP, Adjust, 138
2018-04-20T02:29:41Z, 49, NTP, Adjust, 3
2018-04-20T07:03:46Z, 47, NTP, Adjust, -197
2018-04-20T08:13:35Z, 47, NWL, Measmt, 138
2018-04-20T08:13:54Z, 47, NWL, Adjust, 135
2018-04-20T11:35:50Z, 45, NTP, Adjust, -3
2018-04-21T18:58:55Z, 45, NTP, Adjust, -84
2018-04-21T23:31:09Z, 47, NTP, Adjust, -6
2018-04-22T04:04:33Z, 46, NTP, Adjust, 33
2018-04-22T06:29:15Z, 46, NWL, Measmt, 119
2018-04-22T06:29:50Z, 46, NWL, Adjust, 116
2018-04-22T10:49:53Z, 45, NTP, Adjust, 51
2018-04-23T02:50:32Z, 46, NTP, Adjust, -117
2018-04-23T06:18:49Z, 46, NWL, Measmt, 90
2018-04-23T06:19:37Z, 46, NWL, Adjust, 86
2018-04-23T07:51:56Z, 46, NTP, Adjust, 3
2018-04-24T01:35:04Z, 45, NTP, Adjust, 21
2018-04-24T15:43:29Z, 45, NTP, Adjust, 9
2018-04-24T20:16:35Z, 46, NTP, Adjust, 9
2018-04-25T04:54:18Z, 46, NTP, Adjust, -197
2018-04-25T06:54:19Z, 46, NWL, Measmt, 125
2018-04-25T06:55:04Z, 46, NWL, Adjust, 124
2018-04-25T07:05:40Z, 44, NTP, Adjust, -21
2018-04-25T11:38:34Z, 46, NTP, Adjust, 3
2018-04-25T18:33:28Z, 46, NTP, Adjust, 157
2018-04-26T01:18:12Z, 47, NTP, Adjust, -39
2018-04-26T07:15:54Z, 48, NWL, Measmt, -66
2018-04-26T07:16:21Z, 48, NWL, Adjust, -63
2018-04-26T08:41:01Z, 48, NTP, Adjust, 3
2018-04-27T04:37:14Z, 49, NTP, Adjust, -197
2018-04-27T07:26:28Z, 48, NTP, Adjust, -6
2018-04-27T07:59:54Z, 48, NWL, Measmt, 209
2018-04-27T08:00:16Z, 48, NWL, Adjust, 206
2018-04-27T12:00:14Z, 47, NTP, Adjust, 66
2018-04-27T18:16:02Z, 49, NTP, Adjust, -54
2018-04-27T22:48:40Z, 50, NTP, Adjust, -15
2018-04-28T03:21:45Z, 50, NTP, Adjust, -18
2018-04-28T10:45:50Z, 48, NTP, Adjust, 197
2018-04-28T17:00:59Z, 47, NTP, Adjust, -21
2018-04-29T00:24:07Z, 50, NTP, Adjust, -6
2018-04-29T02:06:57Z, 50, NTP, Adjust, 3
2018-04-29T05:31:54Z, 49, NWL, Measmt, -138
2018-04-29T05:32:23Z, 49, NWL, Adjust, -135
2018-04-29T06:40:00Z, 49, NTP, Adjust, -3
2018-04-29T11:14:04Z, 48, NTP, Adjust, -117
2018-04-29T18:37:23Z, 48, NTP, Adjust, 181
2018-04-29T23:09:29Z, 49, NTP, Adjust, 3
2018-04-30T03:42:37Z, 49, NTP, Adjust, -9
2018-04-30T05:22:48Z, 48, NWL, Measmt, -87
2018-04-30T05:23:23Z, 48, NWL, Adjust, -86
2018-04-30T09:58:35Z, 47, NTP, Adjust, -15
2018-04-30T17:22:01Z, 47, NTP, Adjust, 27
2018-05-01T01:58:36Z, 50, NTP, Adjust, -3
2018-05-01T07:00:57Z, 48, NTP, Adjust, -3
2018-05-01T11:34:07Z, 47, NTP, Adjust, 12
2018-05-01T17:49:58Z, 48, NTP, Adjust, -3
2018-05-01T22:23:02Z, 50, NTP, Adjust, -3
2018-05-02T05:47:17Z, 50, NTP, Adjust, 197
2018-05-02T08:31:06Z, 49, NWL, Measmt, -209
2018-05-02T08:31:55Z, 49, NWL, Adjust, -206
2018-05-02T14:52:59Z, 48, NTP, Adjust, -51
2018-05-02T19:25:32Z, 50, NTP, Adjust, -3
2018-05-02T23:59:33Z, 51, NTP, Adjust, 114
2018-05-03T04:36:09Z, 51, NTP, Adjust, -3
2018-05-03T08:39:32Z, 50, NWL, Measmt, -63
2018-05-03T08:40:06Z, 50, NWL, Adjust, -60
2018-05-03T09:05:21Z, 49, NTP, Adjust, -60
2018-05-03T13:37:52Z, 49, NTP, Adjust, 9
2018-05-03T19:54:26Z, 51, NTP, Adjust, -54
2018-05-04T05:21:22Z, 50, NWL, Measmt, 88
2018-05-04T05:21:55Z, 50, NWL, Adjust, 86
2018-05-04T07:21:41Z, 50, NTP, Adjust, 84
2018-05-04T12:23:16Z, 49, NTP, Adjust, -3
2018-05-04T18:39:51Z, 50, NTP, Adjust, -48
2018-05-04T23:12:25Z, 52, NTP, Adjust, 3
2018-05-05T03:45:31Z, 51, NTP, Adjust, 6
2018-05-05T08:18:34Z, 50, NTP, Adjust, -3
2018-05-05T15:42:38Z, 50, NTP, Adjust, -178
2018-05-05T20:14:45Z, 51, NTP, Adjust, 3
2018-05-06T00:47:51Z, 52, NTP, Adjust, 3
2018-05-06T05:21:24Z, 51, NTP, Adjust, 45
2018-05-06T08:26:01Z, 51, NWL, Measmt, 120
2018-05-06T08:26:12Z, 51, NWL, Adjust, 116
2018-05-06T11:37:20Z, 50, NTP, Adjust, -33
2018-05-06T16:10:03Z, 50, NTP, Adjust, 3
2018-05-06T20:44:05Z, 52, NTP, Adjust, 87
2018-05-07T04:06:15Z, 50, NTP, Adjust, -3
2018-05-07T05:50:20Z, 50, NTP, Adjust, -109
2018-05-07T10:22:26Z, 49, NTP, Adjust, 3
2018-05-07T17:45:30Z, 49, NTP, Adjust, 3
2018-05-07T22:19:31Z, 51, NTP, Adjust, -138
2018-05-08T02:51:38Z, 51, NTP, Adjust, -3
2018-05-08T06:30:33Z, 49, NWL, Measmt, 233
2018-05-08T06:30:47Z, 49, NWL, Adjust, 229
2018-05-08T07:25:36Z, 50, NTP, Adjust, 84
2018-05-08T11:57:45Z, 49, NTP, Adjust, 3
2018-05-08T16:31:05Z, 49, NTP, Adjust, -27
2018-05-08T21:04:17Z, 50, NTP, Adjust, -39
2018-05-09T01:36:57Z, 51, NTP, Adjust, -3
2018-05-09T06:10:43Z, 49, NTP, Adjust, 63
2018-05-09T12:26:24Z, 48, NTP, Adjust, -12
2018-05-09T19:49:22Z, 50, NTP, Adjust, 12
2018-05-10T00:22:22Z, 51, NTP, Adjust, 3
2018-05-10T04:55:27Z, 50, NTP, Adjust, -3
2018-05-10T06:48:17Z, 50, NWL, Measmt, -97
2018-05-10T06:48:56Z, 50, NWL, Adjust, -94
2018-05-10T11:12:18Z, 49, NTP, Adjust, -57
2018-05-10T15:44:45Z, 49, NTP, Adjust, 3
2018-05-10T20:18:06Z, 52, NTP, Adjust, 27
